"date","incidence_ndss_obs","incidence_denfree_obs","rep_denfree"
2002-01-07,1,NA,0.0283
2002-01-14,0,NA,0.0283
2002-01-21,1,NA,0.0283
2002-01-28,0,NA,0.0283
2002-02-04,4,NA,0.0283
2002-02-11,1,NA,0.0283
2002-02-18,1,NA,0.0283
2002-02-25,2,NA,0.0283
2002-03-04,0,NA,0.0283
2002-03-11,5,NA,0.0283
2002-03-18,7,NA,0.0283
2002-03-25,2,NA,0.0283
2002-04-01,2,NA,0.0283
2002-04-08,1,NA,0.0283
2002-04-15,2,NA,0.0283
2002-04-22,2,NA,0.0283
2002-04-29,0,NA,0.0283
2002-05-06,5,NA,0.0283
2002-05-13,3,NA,0.0283
2002-05-20,7,NA,0.0283
2002-05-27,13,NA,0.0283
2002-06-03,21,NA,0.0283
2002-06-10,2,NA,0.0283
2002-06-17,41,NA,0.0283
2002-06-24,7,NA,0.0283
2002-07-01,23,NA,0.0283
2002-07-08,43,NA,0.0283
2002-07-15,46,NA,0.0283
2002-07-22,21,NA,0.0283
2002-07-29,22,NA,0.0283
2002-08-05,10,NA,0.0283
2002-08-12,25,NA,0.0283
2002-08-19,16,NA,0.0283
2002-08-26,6,NA,0.0283
2002-09-02,22,NA,0.0283
2002-09-09,27,NA,0.0283
2002-09-16,18,NA,0.0283
2002-09-23,18,NA,0.0283
2002-09-30,5,NA,0.0283
2002-10-07,26,NA,0.0283
2002-10-14,8,NA,0.0283
2002-10-21,7,NA,0.0283
2002-10-28,15,NA,0.0283
2002-11-04,4,NA,0.0283
2002-11-11,6,NA,0.0283
2002-11-18,16,NA,0.0283
2002-11-25,3,NA,0.0283
2002-12-02,4,NA,0.0283
2002-12-09,2,NA,0.0283
2002-12-16,5,NA,0.0283
2002-12-23,3,NA,0.0283
2002-12-30,11,NA,0.0283
2003-01-06,8,NA,0.0283
2003-01-13,9,NA,0.0283
2003-01-20,2,NA,0.0283
2003-01-27,4,NA,0.0283
2003-02-03,5,NA,0.0283
2003-02-10,0,NA,0.0283
2003-02-17,6,NA,0.0283
2003-02-24,3,NA,0.0283
2003-03-03,1,NA,0.0283
2003-03-10,4,NA,0.0283
2003-03-17,6,NA,0.0283
2003-03-24,13,NA,0.0283
2003-03-31,10,NA,0.0283
2003-04-07,13,NA,0.0283
2003-04-14,11,NA,0.0283
2003-04-21,22,NA,0.0283
2003-04-28,38,NA,0.0283
2003-05-05,14,NA,0.0283
2003-05-12,21,NA,0.0283
2003-05-19,32,NA,0.0283
2003-05-26,35,NA,0.0283
2003-06-02,43,NA,0.0283
2003-06-09,35,NA,0.0283
2003-06-16,55,NA,0.0283
2003-06-23,42,NA,0.0283
2003-06-30,11,NA,0.0283
2003-07-07,94,NA,0.0283
2003-07-14,49,NA,0.0283
2003-07-21,52,NA,0.0283
2003-07-28,47,NA,0.0283
2003-08-04,39,NA,0.0283
2003-08-11,34,NA,0.0283
2003-08-18,28,NA,0.0283
2003-08-25,47,NA,0.0283
2003-09-01,35,NA,0.0283
2003-09-08,7,NA,0.0283
2003-09-15,25,NA,0.0283
2003-09-22,7,NA,0.0283
2003-09-29,10,NA,0.0283
2003-10-06,14,NA,0.0283
2003-10-13,1,NA,0.0283
2003-10-20,12,NA,0.0283
2003-10-27,5,NA,0.0283
2003-11-03,4,NA,0.0283
2003-11-10,1,NA,0.0283
2003-11-17,2,NA,0.0283
2003-11-24,1,NA,0.0283
2003-12-01,3,NA,0.0283
2003-12-08,0,NA,0.0283
2003-12-15,0,NA,0.0283
2003-12-22,3,NA,0.0283
2003-12-29,2,NA,0.0283
2004-01-05,1,NA,0.0283
2004-01-12,1,NA,0.0283
2004-01-19,1,NA,0.0283
2004-01-26,4,NA,0.0283
2004-02-02,2,NA,0.0283
2004-02-09,2,NA,0.0283
2004-02-16,0,NA,0.0283
2004-02-23,1,NA,0.0283
2004-03-01,1,NA,0.0283
2004-03-08,7,NA,0.0283
2004-03-15,4,NA,0.0283
2004-03-22,4,NA,0.0283
2004-03-29,4,NA,0.0283
2004-04-05,3,NA,0.0283
2004-04-12,1,NA,0.0283
2004-04-19,0,NA,0.0283
2004-04-26,7,NA,0.0283
2004-05-03,10,NA,0.0283
2004-05-10,13,NA,0.0283
2004-05-17,11,NA,0.0283
2004-05-24,13,NA,0.0283
2004-05-31,28,NA,0.0283
2004-06-07,22,NA,0.0283
2004-06-14,31,NA,0.0283
2004-06-21,35,NA,0.0283
2004-06-28,31,NA,0.0283
2004-07-05,43,NA,0.0283
2004-07-12,43,NA,0.0283
2004-07-19,38,NA,0.0283
2004-07-26,57,NA,0.0283
2004-08-02,47,NA,0.0283
2004-08-09,33,NA,0.0283
2004-08-16,27,NA,0.0283
2004-08-23,25,NA,0.0283
2004-08-30,14,NA,0.0283
2004-09-06,12,NA,0.0283
2004-09-13,4,NA,0.0283
2004-09-20,6,NA,0.0283
2004-09-27,8,NA,0.0283
2004-10-04,6,NA,0.0283
2004-10-11,2,NA,0.0283
2004-10-18,0,NA,0.0283
2004-10-25,2,NA,0.0283
2004-11-01,3,NA,0.0283
2004-11-08,1,NA,0.0283
2004-11-15,2,NA,0.0283
2004-11-22,1,NA,0.0283
2004-11-29,0,NA,0.0283
2004-12-06,1,NA,0.0283
2004-12-13,1,NA,0.0283
2004-12-20,0,NA,0.0283
2004-12-27,1,NA,0.0283
2005-01-03,1,NA,0.0283
2005-01-10,1,NA,0.0283
2005-01-17,1,NA,0.0283
2005-01-24,2,NA,0.0283
2005-01-31,0,NA,0.0283
2005-02-07,0,NA,0.0283
2005-02-14,1,NA,0.0283
2005-02-21,3,NA,0.0283
2005-02-28,2,NA,0.0283
2005-03-07,3,NA,0.0283
2005-03-14,2,NA,0.0283
2005-03-21,5,NA,0.0283
2005-03-28,2,NA,0.0283
2005-04-04,2,NA,0.0283
2005-04-11,4,NA,0.0283
2005-04-18,2,NA,0.0283
2005-04-25,1,NA,0.0283
2005-05-02,3,NA,0.0283
2005-05-09,3,NA,0.0283
2005-05-16,8,NA,0.0283
2005-05-23,11,NA,0.0283
2005-05-30,10,NA,0.0283
2005-06-06,9,NA,0.0283
2005-06-13,5,NA,0.0283
2005-06-20,7,NA,0.0283
2005-06-27,12,NA,0.0283
2005-07-04,14,NA,0.0283
2005-07-11,24,NA,0.0283
2005-07-18,49,NA,0.0283
2005-07-25,70,NA,0.0283
2005-08-01,90,NA,0.0283
2005-08-08,18,NA,0.0283
2005-08-15,29,NA,0.0283
2005-08-22,21,NA,0.0283
2005-08-29,22,NA,0.0283
2005-09-05,11,NA,0.0283
2005-09-12,9,NA,0.0283
2005-09-19,11,NA,0.0283
2005-09-26,3,NA,0.0283
2005-10-03,5,NA,0.0283
2005-10-10,0,NA,0.0283
2005-10-17,2,NA,0.0283
2005-10-24,5,NA,0.0283
2005-10-31,2,NA,0.0283
2005-11-07,4,NA,0.0283
2005-11-14,1,NA,0.0283
2005-11-21,3,NA,0.0283
2005-11-28,1,NA,0.0283
2005-12-05,1,NA,0.0283
2005-12-12,0,NA,0.0283
2005-12-19,0,NA,0.0283
2005-12-26,1,NA,0.0283
2006-01-02,0,NA,0.0283
2006-01-09,0,NA,0.0283
2006-01-16,0,NA,0.0283
2006-01-23,2,NA,0.0283
2006-01-30,0,NA,0.0283
2006-02-06,0,NA,0.0283
2006-02-13,0,NA,0.0283
2006-02-20,0,NA,0.0283
2006-02-27,2,NA,0.0283
2006-03-06,1,NA,0.0283
2006-03-13,9,NA,0.0283
2006-03-20,7,NA,0.0283
2006-03-27,10,NA,0.0283
2006-04-03,1,NA,0.0283
2006-04-10,2,NA,0.0283
2006-04-17,7,NA,0.0283
2006-04-24,4,NA,0.0283
2006-05-01,5,NA,0.0283
2006-05-08,8,NA,0.0283
2006-05-15,13,NA,0.0283
2006-05-22,17,NA,0.0283
2006-05-29,26,NA,0.0283
2006-06-05,22,NA,0.0283
2006-06-12,30,NA,0.0283
2006-06-19,41,NA,0.0283
2006-06-26,31,NA,0.0283
2006-07-03,27,NA,0.0283
2006-07-10,62,NA,0.0283
2006-07-17,38,NA,0.0283
2006-07-24,51,NA,0.0283
2006-07-31,18,NA,0.0283
2006-08-07,69,NA,0.0283
2006-08-14,69,NA,0.0283
2006-08-21,18,NA,0.0283
2006-08-28,19,NA,0.0283
2006-09-04,30,NA,0.0283
2006-09-11,28,NA,0.0283
2006-09-18,17,NA,0.0283
2006-09-25,12,NA,0.0283
2006-10-02,16,NA,0.0283
2006-10-09,10,NA,0.0283
2006-10-16,17,NA,0.0283
2006-10-23,7,NA,0.0283
2006-10-30,3,NA,0.0283
2006-11-06,7,NA,0.0283
2006-11-13,1,NA,0.0283
2006-11-20,10,NA,0.0283
2006-11-27,7,NA,0.0283
2006-12-04,3,NA,0.0283
2006-12-11,6,NA,0.0283
2006-12-18,3,NA,0.0283
2006-12-25,7,NA,0.0283
2007-01-01,0,NA,0.0283
2007-01-08,0,NA,0.0283
2007-01-15,3,NA,0.0283
2007-01-22,4,NA,0.0283
2007-01-29,6,NA,0.0283
2007-02-05,5,NA,0.0283
2007-02-12,5,NA,0.0283
2007-02-19,2,NA,0.0283
2007-02-26,4,NA,0.0283
2007-03-05,8,NA,0.0283
2007-03-12,1,NA,0.0283
2007-03-19,8,NA,0.0283
2007-03-26,6,NA,0.0283
2007-04-02,16,NA,0.0283
2007-04-09,24,NA,0.0283
2007-04-16,17,NA,0.0283
2007-04-23,19,NA,0.0283
2007-04-30,30,NA,0.0283
2007-05-07,47,NA,0.0283
2007-05-14,51,NA,0.0283
2007-05-21,52,NA,0.0283
2007-05-28,96,NA,0.0283
2007-06-04,95,NA,0.0283
2007-06-11,139,NA,0.0283
2007-06-18,149,NA,0.0283
2007-06-25,156,NA,0.0283
2007-07-02,187,NA,0.0283
2007-07-09,94,NA,0.0283
2007-07-16,220,NA,0.0283
2007-07-23,98,NA,0.0283
2007-07-30,95,NA,0.0283
2007-08-06,80,NA,0.0283
2007-08-13,53,NA,0.0283
2007-08-20,60,NA,0.0283
2007-08-27,33,NA,0.0283
2007-09-03,34,NA,0.0283
2007-09-10,31,NA,0.0283
2007-09-17,4,NA,0.0283
2007-09-24,9,NA,0.0283
2007-10-01,5,NA,0.0283
2007-10-08,5,NA,0.0283
2007-10-15,10,NA,0.0283
2007-10-22,2,NA,0.0283
2007-10-29,5,NA,0.0283
2007-11-05,5,NA,0.0283
2007-11-12,3,NA,0.0283
2007-11-19,5,NA,0.0283
2007-11-26,1,NA,0.0283
2007-12-03,1,NA,0.0283
2007-12-10,0,NA,0.0283
2007-12-17,1,NA,0.0283
2007-12-24,1,NA,0.0283
2007-12-31,0,NA,0.0283
2008-01-07,1,NA,0.0283
2008-01-14,0,NA,0.0283
2008-01-21,1,NA,0.0283
2008-01-28,0,NA,0.0283
2008-02-04,1,NA,0.0283
2008-02-11,0,NA,0.0283
2008-02-18,0,NA,0.0283
2008-02-25,1,NA,0.0283
2008-03-03,0,NA,0.0283
2008-03-10,1,NA,0.0283
2008-03-17,1,NA,0.0283
2008-03-24,0,NA,0.0283
2008-03-31,0,NA,0.0283
2008-04-07,0,NA,0.0283
2008-04-14,1,NA,0.0283
2008-04-21,1,NA,0.0283
2008-04-28,3,NA,0.0283
2008-05-05,4,NA,0.0283
2008-05-12,30,NA,0.0283
2008-05-19,2,NA,0.0283
2008-05-26,33,NA,0.0283
2008-06-02,30,NA,0.0283
2008-06-09,24,NA,0.0283
2008-06-16,24,NA,0.0283
2008-06-23,14,NA,0.0283
2008-06-30,27,NA,0.0283
2008-07-07,17,NA,0.0283
2008-07-14,28,NA,0.0283
2008-07-21,27,NA,0.0283
2008-07-28,29,NA,0.0283
2008-08-04,37,NA,0.0283
2008-08-11,25,NA,0.0283
2008-08-18,3,NA,0.0283
2008-08-25,22,NA,0.0283
2008-09-01,14,NA,0.0283
2008-09-08,7,NA,0.0283
2008-09-15,13,NA,0.0283
2008-09-22,16,NA,0.0283
2008-09-29,13,NA,0.0283
2008-10-06,1,NA,0.0283
2008-10-13,14,NA,0.0283
2008-10-20,5,NA,0.0283
2008-10-27,5,NA,0.0283
2008-11-03,2,NA,0.0283
2008-11-10,1,NA,0.0283
2008-11-17,10,NA,0.0283
2008-11-24,9,NA,0.0283
2008-12-01,3,NA,0.0283
2008-12-08,1,NA,0.0283
2008-12-15,0,NA,0.0283
2008-12-22,5,NA,0.0283
2008-12-29,2,NA,0.0283
2009-01-05,3,NA,0.0283
2009-01-12,0,NA,0.0283
2009-01-19,3,NA,0.0283
2009-01-26,0,NA,0.0283
2009-02-02,1,NA,0.0283
2009-02-09,1,NA,0.0283
2009-02-16,0,NA,0.0283
2009-02-23,2,NA,0.0283
2009-03-02,2,NA,0.0283
2009-03-09,3,NA,0.0283
2009-03-16,0,NA,0.0283
2009-03-23,5,NA,0.0283
2009-03-30,3,NA,0.0283
2009-04-06,2,NA,0.0283
2009-04-13,0,NA,0.0283
2009-04-20,4,NA,0.0283
2009-04-27,4,NA,0.0283
2009-05-04,15,NA,0.0283
2009-05-11,9,NA,0.0283
2009-05-18,8,NA,0.0283
2009-05-25,18,NA,0.0283
2009-06-01,24,NA,0.0283
2009-06-08,22,NA,0.0283
2009-06-15,15,NA,0.0283
2009-06-22,23,NA,0.0283
2009-06-29,28,NA,0.0283
2009-07-06,27,NA,0.0283
2009-07-13,18,NA,0.0283
2009-07-20,20,NA,0.0283
2009-07-27,24,NA,0.0283
2009-08-03,13,NA,0.0283
2009-08-10,15,NA,0.0283
2009-08-17,13,NA,0.0283
2009-08-24,13,NA,0.0283
2009-08-31,9,NA,0.0283
2009-09-07,12,NA,0.0283
2009-09-14,12,NA,0.0283
2009-09-21,7,NA,0.0283
2009-09-28,9,NA,0.0283
2009-10-05,11,NA,0.0283
2009-10-12,7,NA,0.0283
2009-10-19,7,NA,0.0283
2009-10-26,11,NA,0.0283
2009-11-02,5,NA,0.0283
2009-11-09,3,NA,0.0283
2009-11-16,0,NA,0.0283
2009-11-23,2,NA,0.0283
2009-11-30,0,NA,0.0283
2009-12-07,0,NA,0.0283
2009-12-14,2,NA,0.0283
2009-12-21,1,NA,0.0283
2009-12-28,0,NA,0.0283
2010-01-04,2,NA,0.0283
2010-01-11,2,NA,0.0283
2010-01-18,1,NA,0.0283
2010-01-25,0,NA,0.0283
2010-02-01,2,NA,0.0283
2010-02-08,1,NA,0.0283
2010-02-15,0,NA,0.0283
2010-02-22,3,NA,0.0283
2010-03-01,3,NA,0.0283
2010-03-08,1,NA,0.0283
2010-03-15,4,NA,0.0283
2010-03-22,0,NA,0.0283
2010-03-29,2,NA,0.0283
2010-04-05,1,NA,0.0283
2010-04-12,3,NA,0.0283
2010-04-19,1,NA,0.0283
2010-04-26,1,NA,0.0283
2010-05-03,2,NA,0.0283
2010-05-10,3,NA,0.0283
2010-05-17,8,NA,0.0283
2010-05-24,11,NA,0.0283
2010-05-31,24,NA,0.0283
2010-06-07,8,NA,0.0283
2010-06-14,30,NA,0.0283
2010-06-21,29,NA,0.0283
2010-06-28,73,NA,0.0283
2010-07-05,99,NA,0.0283
2010-07-12,90,NA,0.0283
2010-07-19,71,NA,0.0283
2010-07-26,77,NA,0.0283
2010-08-02,78,NA,0.0283
2010-08-09,68,NA,0.0283
2010-08-16,32,NA,0.0283
2010-08-23,24,NA,0.0283
2010-08-30,23,NA,0.0283
2010-09-06,15,NA,0.0283
2010-09-13,18,NA,0.0283
2010-09-20,9,NA,0.0283
2010-09-27,6,NA,0.0283
2010-10-04,12,NA,0.0283
2010-10-11,5,NA,0.0283
2010-10-18,4,NA,0.0283
2010-10-25,6,NA,0.0283
2010-11-01,3,NA,0.0283
2010-11-08,4,NA,0.0283
2010-11-15,2,NA,0.0283
2010-11-22,1,NA,0.0283
2010-11-29,1,NA,0.0283
2010-12-06,0,NA,0.0283
2010-12-13,0,NA,0.0283
